Company_Name,Brand_Name,PO Number,Date,Complete Date by Sales,Complete Date by Production,Trade_Type,Rate Last Sales Order,Total,Available Down Payment Last Sales Order,Down Payment Used/Returned Last Sales Order,Total Item Based on PO,Sales Origin,Cfm by WA,Customer_Category
Nusadua Graha International,The Westin Resort Nusa Dua,1DSLV00115616,26/12/2024,04/03/2025,12/03/2025,Local,1,17715600,0,8857800,72,Bali,,Hotel
NEW TOP LIMITED,Capella Taipei,2240820ID001,20/08/2024,31/01/2025,31/01/2025,Export,16421,27507.25,0,27507.25,1710,Taiwan,,Hotel
NEW TOP LIMITED,Capella Taipei,,07/10/2024,,,,16421,9220,0,8759,0,,,Hotel
Naughty Nuris Sanur,Naughty Nuris Sanur,,20/11/2024,,,,1,5772000,0,2886000,0,,,Restaurant
Nativa Graha Saji,Billy Ho,,01/02/2024,,,,,1465200,,,0,,,Restaurant
Nativa Graha Saji,Billy Ho,,18/04/2024,,,,1,6526800,0,3263400,0,,,Restaurant
Nativa Graha Saji,Billy Ho,,02/10/2024,,,,1,17288250,0,8644125,0,,,Restaurant
Nativa Graha Saji,Billy Ho,,23/07/2024,,,,1,3663000,0,1831500,0,,,Restaurant
Nativa Graha Saji,Billy Ho,-,02/12/2024,14/01/2025,13/01/2025,Local,1,8652450,0,4326225,67,Bali,,Restaurant
Nativa Graha Saji,Billy Ho,,08/01/2025,,,,1,5106000,0,0,0,,,Restaurant
Nae UM,Nae UM,,27/05/2024,,,,15853,500,0,500,0,,,Restaurant
Mushka Dua Bali,Blanche Bistro,,04/12/2023,,,,,79032000,,,0,,,Restaurant
Mushka Dua Bali,Blanche Bistro,,19/02/2024,,,,1,19980000,0,10000000,0,,,Restaurant
MTS Investments Indonesia,Further Hotel,,24/05/2024,,,,1,9102000,0,4551000,0,,,Hotel
Mozaic Ubud,Mozaic Ubud,,20/05/2024,,,,1,55466700,0,27733350,0,,,Restaurant
Monokuro,Monokuro,-,26/11/2024,30/01/2025,27/01/2025,Local,1,17815500,0,9907750,102,Bali,,Restaurant
Monokuro,Monokuro,,31/07/2024,,,,1,5661000,0,2830500,0,,,Restaurant
MNC Land Tbk,Park Hyatt Jakarta,,27/08/2024,,,,1,21445200,0,10722600,0,,,Hotel
Mitra Mulia Boga Nusantara,Waterbom,,29/11/2023,,,,,2530800,,,0,,,Restaurant
Mitra Mulia Boga Nusantara,Waterbom,,30/07/2024,,,,1,23443200,0,23443200,0,,,Restaurant
"Mimosa Cityscapes, INC.","Mimosa Cityscapes, INC.",-,29/03/2024,15/05/2025,15/06/2025,Export,15712,4652.5,0,0,195,,,Restaurant
Milk Bar,Milk Bar,,14/06/2024,,,,1,7059600,0,3529800,0,,,Restaurant
Michael Lorenti,Michael Lorenti,,20/05/2024,,,,1,3829500,0,3829500,0,,,Personal
Michael Lorenti,Michael Lorenti,,09/05/2024,,,,1,34365600,0,17182800,0,,,Personal
MG Hotel Supplies LLC,MG Hotel,,12/12/2023,,,,,864,,,0,,,Agent
MG Hotel Supplies LLC,MG Hotel,,10/06/2024,,,,16115,1482,0,741,0,,,Agent
MG Hotel Supplies LLC,MG Hotel,,06/06/2024,,,,16115,3610,0,1805,0,,,Agent
MG Hotel Supplies LLC,MG Hotel,,05/06/2024,,,,15853,348,0,0,0,,,Agent
MG Hotel Supplies LLC,MG Hotel,-,13/02/2025,30/04/2025,17/04/2025,Export,16220,276,0,276,12,,,Agent
Menara Permata Properti,Mamaka/Ovolo,,29/11/2023,,,,,9768000,,,0,,,Hotel
Menara Permata Properti,Mamaka/Ovolo,,29/11/2023,,,,,6660000,,,0,,,Hotel
Maya Resort,Maya Sanur,,18/12/2023,,,,,11683860,,,0,,,Hotel
Maya Resort,Maya Sanur,,05/12/2023,,,,,6327000,,,0,,,Hotel
Maya Resort,Maya Sanur,,11/01/2024,,,,1,76683240,0,0,0,,,Hotel
Maya Resort,Maya Sanur,,12/02/2024,,,,1,11810400,0,0,0,,,Hotel
Maya Resort,Maya Sanur,,26/01/2024,,,,1,7492500,0,0,0,,,Hotel
Maya Resort,Maya Sanur,,28/11/2023,,,,,35483925,,,0,,,Hotel
Maya Resort,Maya Sanur,,23/05/2024,,,,1,6696075,0,3348037,0,,,Hotel
Maya Resort,Maya Sanur,,23/05/2024,,,,1,23304450,0,11652225,0,,,Hotel
Maya Resort,Maya Sanur,,04/07/2024,,,,1,5994000,0,2997000,0,,,Hotel
Maya Resort,Maya Sanur,,13/08/2024,,,,1,4745250,0,2372625,0,,,Hotel
Maya Resort,Maya Sanur,P240627023,18/10/2024,08/01/2025,,Local,1,14985000,0,0,60,Bali,,Hotel
Maya Resort,Maya Sanur,P240927002,30/09/2024,28/01/2025,28/01/2025,Local,1,94957725,0,47478863,528,Bali,,Hotel
Maya Resort,Maya Sanur,P240927003,30/09/2024,28/01/2025,28/01/2025,Local,1,39991912,0,19995956,300,Bali,,Hotel
Maya Resort,Maya Sanur,P240927005,30/09/2024,28/01/2025,28/01/2025,Local,1,22144500,0,11072250,80,Bali,,Hotel
Maya Resort,Maya Sanur,P240927004,30/09/2024,28/01/2025,28/01/2025,Local,1,17741962,0,8870982,175,Bali,,Hotel
Marloe Marloe Indonesia,Marloe,,18/10/2024,,,,10692.06,1450,0,0,0,,,Artist Collaboration
Marina Bay Sands,MBS,,30/01/2024,,,,15416,7740,0,3870,0,,,Hotel
Margaret Bistro Canggu,Margaret Bistro Canggu,,03/10/2024,,,,1,123459750,0,61729875,0,,,Restaurant
Mandara Spa Indonesia,Mandara Spa,,25/04/2024,,,,1,21645000,0,10822500,0,,,SPA
Mandara Spa Indonesia,Mandara Spa,33672,13/03/2025,30/04/2025,05/05/2025,Local,1,4995000,0,2497500,50,,,SPA
"Makasar Boga Utama, CV",Makasar Boga Utama,PO21499,10/01/2025,31/03/2025,18/03/2025,Local,1,11177700,0,5588850,20,Sulawesi Selatan,,Restaurant
"Makasar Boga Utama, CV",Makasar Boga Utama,PO21725,30/01/2025,30/04/2025,16/05/2025,Local,1,17082900,0,8541450,60,,,Restaurant
Made by Umah,Made by Umah,,24/01/2025,,,,1,333000,0,0,0,,,Personal
Made by Umah,Made by Umah,-,05/02/2025,30/04/2025,27/03/2025,Local,,33300000,,,100,Bali,,Personal
Made by Umah,Made by Umah,-,06/02/2025,30/04/2025,27/03/2025,Local,16129,2064.600025,0,0,100,Bali,,Personal
Mactan Seascapes Service INC (Crimson),Crimson / Boracay,,03/01/2024,,,,15476.8,780,0,390,0,,,Hotel
Mactan Seascapes Service INC (Crimson),Crimson / Boracay,,21/05/2024,,,,15853,9500,0,9500,0,,,Hotel
Mactan Seascapes Service INC (Crimson),Crimson / Boracay,POR0000012559,26/07/2024,31/01/2025,31/01/2025,Export,16180,23873.88,0,11936.94,1981,Philipina,,Hotel
"LOMBOK KULINA UTAMA, PT",Lombok Kulina Utama,PO21719,30/01/2025,30/04/2025,16/05/2025,Local,1,131148720,0,65574360,528,,,Restaurant
Loloan Bali,Mexicola Seminyak,,23/07/2024,,,,1,10267500,0,10267500,0,,,Restaurant
Loloan Bali,Mexicola Seminyak,-,29/01/2025,30/04/2025,26/05/2025,Local,1,232878000,0,100000000,920,,,Restaurant
"Loka Neka Jaya, PT",Locavore NXT,,13/12/2023,,,,,83717050,,,0,,,Restaurant
"Loka Neka Jaya, PT",Locavore NXT,,18/01/2024,,,,,5594400,,,0,,,Restaurant
"Loka Neka Jaya, PT",Locavore NXT,,18/01/2024,,,,,3413250,,,0,,,Restaurant
"Loka Neka Jaya, PT",Locavore NXT,,21/02/2024,,,,1,73260000,0,36630000,0,,,Restaurant
"Loka Neka Jaya, PT",Locavore NXT,18112024 (NXT),15/11/2024,04/02/2025,04/02/2025,Local,1,10545000,0,5272500,50,Bali,Done,Restaurant
Leisure Ventures Langkawi Sdn Bhd,Four Seasons Resort Langkawi,,24/05/2024,,,,15853,10098,0,5049,0,,,Hotel
Leisure Oceans Private Limited (Six Sense Kanuhura),Six Sense Kanuhura,,09/09/2024,,,,16421,1500,0,0,0,,,Hotel
Leisure Oceans Private Limited (Six Sense Kanuhura),Six Sense Kanuhura,K202501-00390,18/02/2025,20/03/2025,02/05/2025,Export,16162,468,0,0,72,,,Hotel
Leisure Oceans Private Limited (Six Sense Kanuhura),Six Sense Kanuhura,K202412-04717,19/12/2024,14/03/2025,20/02/2025,Local,16320,1885,0,942.5,200,Maldives,,Hotel
Leisure Oceans Private Limited (Six Sense Kanuhura),Six Sense Kanuhura,K202503-01190,17/03/2025,31/05/2025,30/05/2025,Export,16162,780,0,780,60,,,Hotel
Kreasi Cipta Karsa,The Langham Jakarta,,03/01/2024,,,,,11544000,,,0,,,Hotel
Kreasi Cipta Karsa,The Langham Jakarta,,05/03/2024,,,,1,41070000,0,20535000,0,,,Hotel
Kreasi Cipta Karsa,The Langham Jakarta,PO202502-03407,17/02/2025,30/04/2025,25/06/2025,Local,1,189421500,94710750,0,840,Jakarta,,Hotel
"Kopi Bar Sela, PT",Chella Uluwatu,,02/01/2025,,,,1,5061600,1010100,1520700,0,,,Restaurant
"Kopi Bar Sela, PT",Chella Uluwatu,-,20/03/2025,01/04/2025,30/04/2025,Local,1,2136750,0,0,35,,,Restaurant
"Kopi Bar Sela, PT",Chella Uluwatu,422024,23/01/2025,01/04/2025,24/06/2025,Local,1,221850150,0,110925075,1160,Bali,,Restaurant
Kiros Hospitality Solutions Pvt. Ltd.,Kiros,,25/07/2024,,,,16180,2760.5,0,1380.25,0,,,Hotel
Kevala Keramik Bali,KKB,,16/07/2024,,,,1,70462800,0,0,0,,,Umum
Kevala Keramik Bali,KKB,,16/07/2024,,,,1,653106240,0,0,0,,,Umum
Kevala Keramik Bali,KKB,,16/07/2024,,,,1,128794632,0,0,0,,,Umum
Kevala Keramik Bali,KKB,,16/07/2024,,,,1,407778480,0,0,0,,,Umum
Kevala Keramik Bali,KKB,,24/07/2024,,,,1,420725520,0,0,0,,,Umum
Kevala Keramik Bali,KKB,,17/01/2025,,,,,56956320,,,0,,,Umum
Kevala Keramik Bali,KKB,,05/11/2024,,,,,31035600,,,0,,,Umum
Kevala Keramik Bali,KKB,,09/10/2024,,,,,276168000,,,0,,,Umum
Kevala Keramik Bali,KKB,,05/11/2024,,,,,851414400,,,0,,,Umum
Kevala Keramik Bali,KKB,,09/10/2024,,,,,122801520,,,0,,,Umum
Kevala Keramik Bali,KKB,,09/10/2024,,,,,55300200,,,0,,,Umum
Kevala Keramik Bali,KKB,,09/10/2024,,,,,301999920,,,0,,,Umum
Kevala Keramik Bali,KKB,,09/10/2024,,,,,252835800,,,0,,,Umum
Kevala Keramik Bali,KKB,,09/10/2024,,,,,213528480,,,0,,,Umum
Kevala Keramik Bali,KKB,,09/10/2024,,,,,108891000,,,0,,,Umum
Kevala Keramik Bali,KKB,-,26/03/2025,30/05/2025,,Local,,128794632,,,802,,,Umum
Kevala Keramik Bali,KKB,-,26/03/2025,30/05/2025,,Local,,83969280,,,456,,,Umum
Kevala Keramik Bali,KKB,-,26/03/2025,30/05/2025,,Local,,22777200,,,54,,,Umum
Kevala Keramik Bali,KKB,,21/11/2024,,,,,75124800,,,0,,,Umum
Kevala Keramik Bali,KKB,,20/11/2024,,,,1,34450000,0,34450000,0,,,Umum
Kevala Keramik Bali,KKB,,21/11/2024,,,,,133026840,,,0,,,Umum
Kevala Keramik Bali,KKB,,08/11/2024,,,,,159413760,,,0,,,Umum
Kevala Keramik Bali,KKB,,08/11/2024,,,,,218221560,,,0,,,Umum
Kevala Keramik Bali,KKB,,07/11/2024,,,,,207112680,,,0,,,Umum
Kevala Keramik Bali,KKB,,06/11/2024,,,,,99340560,,,0,,,Umum
Kevala Keramik Bali,KKB,,07/11/2024,,,,,142197660,,,0,,,Umum
Kevala Keramik Bali,KKB,,12/11/2024,,,,,43583040,,,0,,,Umum
Kevala Keramik Bali,KKB,,12/11/2024,,,,,73846080,,,0,,,Umum
Kevala Keramik Bali,KKB,,12/11/2024,,,,,124595280,,,0,,,Umum
Kevala Keramik Bali,KKB,,06/11/2024,,,,,176143680,,,0,,,Umum
Kevala Keramik Bali,KKB,-,26/03/2025,30/05/2025,,Local,,21978000,,,120,,,Umum
Kevala Keramik Bali,KKB,,17/01/2025,,,,,28238400,,,0,,,Umum
Kevala Keramik Bali,KKB,,17/01/2025,,,,,127112760,,,0,,,Umum
Kevala Keramik Bali,KKB,,17/01/2025,,,,,124675200,,,0,,,Umum
Kevala Keramik Bali,KKB,,17/01/2025,,,,,100752480,,,0,,,Umum
Kevala Keramik Bali,KKB,-,26/03/2025,30/05/2025,,Local,,59646960,,,420,,,Umum
Kevala Keramik Bali,KKB,-,26/03/2025,30/05/2025,,Local,,58980960,,,468,,,Umum
Kevala Keramik Bali,KKB,-,27/03/2025,30/05/2025,,Local,,103487520,,,572,,,Umum
Kevala Keramik Bali,KKB,-,26/03/2025,30/04/2025,,Local,,3356640,,,24,,,Umum
Keraton At The Plaza,Plaza Indonesia Mandiri,Sample,12/12/2024,20/01/2025,,Local,1,2109000,0,1054500,5,Bali,,Hotel
Keraton At The Plaza,Plaza Indonesia Mandiri,-,24/02/2025,30/05/2025,06/06/2025,Local,1,44677500,0,22338750,100,,,Hotel
Kebun Bistro Ubud,Kebun Bistro,,07/02/2024,,,,1,18559200,0,9279600,0,,,Restaurant
Kebun Bistro Ubud,Kebun Bistro,-,13/03/2025,30/04/2025,11/04/2025,Local,1,305250,0,0,1,,,Restaurant
Karya Agung Kisma Lestari,Laguna Hotel Bali,,20/05/2024,,,,1,24420000,0,24420000,0,,,Hotel
Karya Agung Kisma Lestari,Laguna Hotel Bali,,02/07/2024,,,,1,6660000,0,0,0,,,Hotel
Karang Mas Sejahtera,Ayana Hospitality,,15/04/2024,,,,1,136557750,0,136557750,0,,,Hotel
Karang Mas Sejahtera,Ayana Hospitality,,20/02/2024,,,,1,49950000,0,49950000,0,,,Hotel
Karang Mas Sejahtera,Ayana Hospitality,,20/05/2024,,,,1,62742750,0,31371375,0,,,Hotel
Karang Mas Sejahtera,Ayana Hospitality,,05/02/2024,,,,1,226480237,0,226480237,0,,,Hotel
Karang Mas Sejahtera,Ayana Hospitality,,06/06/2024,,,,1,1404150,0,0,0,,,Hotel
Karang Mas Sejahtera,Ayana Hospitality,,05/02/2024,,,,1,16872000,0,16872000,0,,,Hotel
Karang Mas Sejahtera,Ayana Hospitality,,28/05/2024,,,,1,3296700,0,0,0,,,Hotel
Karang Mas Sejahtera,Ayana Hospitality,,20/08/2024,,,,1,239766937,0,119883468,0,,,Hotel
Karang Mas Sejahtera,Ayana Hospitality,,10/09/2024,,,,1,15429000,0,7714500,0,,,Hotel
Karang Mas Sejahtera,Ayana Hospitality,,07/10/2024,,,,1,1842600,0,954600,0,,,Hotel
Karang Mas Sejahtera,Ayana Hospitality,2025008470,23/01/2025,31/03/2025,27/03/2025,Local,1,699980852,0,349990426,3955,Bali,,Hotel
Karang Mas Sejahtera,Ayana Hospitality,2024164203 Ayana Bali SPA,26/12/2024,28/02/2025,28/02/2025,Local,1,5594400,0,0,24,Bali,,Hotel
Karang Mas Sejahtera,Ayana Hospitality,2024116025,18/09/2024,13/01/2025,10/01/2025,Local,1,344655000,0,172327500,1300,Bali,,Hotel
Karang Mas Sejahtera,Ayana Hospitality,2024123106,02/10/2024,31/01/2025,31/01/2025,Local,1,485908327,0,242954163,2545,Bali,Done,Hotel
Kala Hospitality Group,Kala Uluwatu,,03/01/2024,,,,1,166056000,0,0,0,,,Restaurant
Kala Hospitality Group,Kala Uluwatu,,18/09/2024,,,,1,21090000,0,10545000,0,,,Restaurant
Kaia Restaurant,Kaia Restaurant,-,27/01/2025,30/04/2025,31/01/2025,Local,1,17982000,0,0,60,Bali,,Restaurant
Kafe Ubud,Hanoman Kafe,,01/01/2024,,,,1,31080000,0,0,0,,,Restaurant
"JTB Trading, Inc. ( Six Sense Kyoto)",Six Sense Kyoto,,21/03/2024,,,,15476.8,542.5,0,535.13,0,,,Hotel
"JTB Trading, Inc. ( Six Sense Kyoto)",Six Sense Kyoto,,29/03/2024,,,,15603,1225,0,1265.63,0,,,Hotel
Johan Janssen PTY LTD,Johan Janssen,,27/09/2023,,,,15000,6452,0,0,0,,,Personal
Johan Janssen PTY LTD,Johan Janssen,,27/09/2023,,,,15000,6452,0,0,0,,,Personal
Johan Janssen PTY LTD,Johan Janssen,,27/09/2023,,,,15000,1096,0,0,0,,,Personal
Johan Janssen PTY LTD,Johan Janssen,,27/09/2023,,,,15000,6452,0,0,0,,,Personal
Johan Janssen PTY LTD,Johan Janssen,,27/09/2023,,,,15000,6452,0,0,0,,,Personal
Jimbaran Villas,Bvlgari,,04/03/2024,,,,1,40271355,0,20135677,0,,,Hotel
Jimbaran Villas,Bvlgari,,01/07/2024,,,,1,2985900,0,2985900,0,,,Hotel
Jimbaran Villas,Bvlgari,,05/09/2024,,,,1,42723067,0,21361533,0,,,Hotel
Jimbaran Villas,Bvlgari,DPSBG-00200796,06/11/2024,07/02/2025,07/02/2025,Local,1,5594400,0,2797200,24,Bali,,Hotel
Jimbaran Greenhill,Raffles Bali,,19/06/2024,,,,1,147840900,0,73920450,0,,,Hotel
Jimbaran Greenhill,Raffles Bali,PO202411-11632,20/11/2024,30/01/2025,23/01/2025,Local,1,4928400,0,0,24,Bali,,Hotel
Jen,Jennifer,-,04/06/2024,04/03/2025,07/03/2025,Local,1,47397000,0,23698500,254,Bali,,Personal
Jeffrey Grimes,Jeffrey Grimes,,29/05/2024,,,,16060,2673,0,1336.5,0,,,Personal
Jayasom Amaala,Jayasom Amaala,,20/09/2024,,,,15155,2062.15,0,0,0,,,Hotel
Japa Putra Wijaka,Japa Ubud,,01/01/2024,,,,,22866000,,,0,,,Hotel
Japa Putra Wijaka,Japa Ubud,-,16/01/2025,30/03/2025,11/04/2025,Local,1,118326000,0,59163000,615,,,Hotel
Jaddi Globalindo,AW Kitchen,,20/12/2023,,,,1,45421200,0,0,0,,,Restaurant
"Island Explora, PT",Lago Ledge,-,25/03/2025,30/06/2025,15/07/2025,Local,1,390137250,195068625,0,1815,Bali,,Hotel
Intercontinental Bandung Dago,Hotel Dago Pakar,74639,23/12/2024,17/02/2025,19/02/2025,Local,1,6737700,0,3368850,71,Jawa Barat,,Hotel
Intercontinental Bandung Dago,Hotel Dago Pakar,74635,23/12/2024,17/02/2025,18/02/2025,Local,1,6449100,0,3224550,25,Jawa Barat,,Hotel
Indonesia Adventure Sport,Nihi Sumba,,16/10/2023,,,,1,17482500,0,0,0,,,Hotel
Indonesia Adventure Sport,Nihi Sumba,,04/12/2023,,,,1,33699600,0,0,0,,,Hotel
Indonesia Adventure Sport,Nihi Sumba,,03/01/2024,,,,1,33699600,0,0,0,,,Hotel
Indonesia Adventure Sport,Nihi Sumba,,21/03/2024,,,,1,7770000,0,3885000,0,,,Hotel
Indonesia Adventure Sport,Nihi Sumba,,29/04/2024,,,,1,11655000,0,5827500,0,,,Hotel
Indonesia Adventure Sport,Nihi Sumba,,01/01/2024,,,,1,21844800,0,0,0,,,Hotel
Indonesia Adventure Sport,Nihi Sumba,,12/01/2024,,,,1,3729600,0,0,0,,,Hotel
Indonesia Adventure Sport,Nihi Sumba,,19/06/2024,,,,1,24109200,0,12054600,0,,,Hotel
Indonesia Adventure Sport,Nihi Sumba,202501-00371,15/01/2025,31/03/2025,21/03/2025,Local,1,27972000,0,13986000,120,Sumba,,Hotel
Indonesia Adventure Sport,Nihi Sumba,PO202501-00304,24/01/2025,31/03/2025,27/03/2025,Local,1,19425000,0,9712500,5,,,Hotel
Indonesia Adventure Sport,Nihi Sumba,PO202412-12582,03/01/2025,24/03/2025,24/03/2025,Local,1,7770000,0,3885000,25,,,Hotel
Indonesia Adventure Sport,Nihi Sumba,P202502-01234,13/02/2025,26/03/2025,26/03/2025,Local,1,5061600,0,2530800,24,,,Hotel
Indonesia Adventure Sport,Nihi Sumba,,27/01/2025,,,,1,5466750,0,2733375,0,,,Hotel
Indonesia Adventure Sport,Nihi Sumba,PO202503-02121,07/03/2025,30/05/2025,23/05/2025,Local,1,10256400,0,5128200,48,,,Hotel
Indonesia Adventure Sport,Nihi Sumba,PO202502-011139,13/02/2025,30/04/2025,14/04/2025,Local,1,10656000,0,5328000,48,,,Hotel
Indonesia Adventure Sport,Nihi Sumba,PO202501-00873,03/02/2025,30/04/2025,29/04/2025,Local,1,160816523,0,80408261,608,,,Hotel
Indonesia Adventure Sport,Nihi Sumba,9625,03/10/2024,24/01/2025,16/01/2025,Local,1,25840800,0,25840800,144,Sumba,,Hotel
Indonesia Adventure Sport,Nihi Sumba,PO202409-09454 & PO202409-09473,08/10/2024,31/01/2025,03/02/2025,Local,1,26780970,0,13390485,160,Bali,Done,Hotel
Indonesia Adventure Sport,Nihi Sumba,PO202502-01576,17/02/2025,30/04/2025,29/04/2025,Local,1,32167800,0,16134960,92,,,Hotel
"Indoguna Utama, PT",Indoguna Utama,#PO21491,10/01/2025,31/03/2025,18/03/2025,Local,1,27944250,0,13972125,50,,,Restaurant
HUGO BOSS South East Asia Pte.Ltd.,HUGO BOSS,,18/03/2024,,,,15590,5954.039954,0,0,0,,,Hotel
Hotel Permata Hijau,Hotel Permata Hijau,-,20/12/2024,10/02/2025,11/02/2025,Local,1,85914000,0,85914000,360,Jawa Barat,,Hotel
Hotel Pandan Arum,Maya Ubud,,19/12/2023,,,,,37917600,,,0,,,Hotel
Hotel Pandan Arum,Maya Ubud,,27/11/2023,,,,,50616000,,,0,,,Hotel
Hotel Pandan Arum,Maya Ubud,,08/12/2023,,,,,57575700,,,0,,,Hotel
Hotel Pandan Arum,Maya Ubud,,26/06/2024,,,,1,8325000,0,4162500,0,,,Hotel
Hotel Pandan Arum,Maya Ubud,P250217052,26/02/2025,30/04/2025,03/04/2025,Local,1,488400,0,0,2,,,Hotel
Hotel Pandan Arum,Maya Ubud,,24/07/2024,,,,1,28207875,0,14103980,0,,,Hotel
Hotel Pandan Arum,Maya Ubud,,25/10/2024,,,,1,9768000,0,4884000,0,,,Hotel
Hotel Pandan Arum,Maya Ubud,P241225004,31/12/2024,01/03/2025,07/03/2025,Local,1,33966000,0,16983000,120,Bali,,Hotel
Hotel Pandan Arum,Maya Ubud,P250130017,05/02/2025,24/03/2025,17/03/2025,Local,1,10489500,0,5244750,1,Bali,,Hotel
Hotel Pandan Arum,Maya Ubud,-,01/11/2024,07/01/2025,07/01/2025,Local,1,2797200,0,1398600,24,Bali,,Hotel
Hotel Pandan Arum,Maya Ubud,P241225003,31/12/2024,01/03/2025,07/03/2025,Local,1,16924725,0,8462385,150,Bali,,Hotel
Hotel Pandan Arum,Maya Ubud,P241022025,25/10/2024,28/01/2025,23/01/2025,Local,1,6243750,0,3121875,15,Bali,,Hotel
Hotel Indonesia Sanur International,Meru,21659,29/01/2025,30/04/2025,29/04/2025,Local,1,35750000,0,17875000,450,Bali,,Hotel
Hotel Indonesia Sanur International,Meru,,18/12/2023,,,,1,628401000,0,0,0,,,Hotel
Hotel Indonesia Sanur International,Meru,,18/12/2023,,,,1,971292000,0,0,0,,,Hotel
Hotel Indonesia Sanur International,Meru,,16/03/2024,,,,1,20460000,0,0,0,,,Hotel
Hotel Indonesia Sanur International,Meru,21662,04/02/2025,30/04/2025,29/04/2025,Local,1,68940000,0,34470000,662,Bali,,Hotel
Hotel Indonesia Sanur International,Meru,21660,29/01/2025,30/04/2025,29/04/2025,Local,1,48000000,0,24000000,320,Bali,,Hotel
Hotel Indonesia Sanur International,Meru,21707,29/01/2025,30/04/2025,29/04/2025,Local,1,48050000,0,24025000,574,Bali,,Hotel
Hiyoko 2.0 Jakarta,Hiyoko 2.0,-,05/12/2024,31/01/2025,31/01/2025,Local,1,19247400,0,9623700,108,Jakarta,,Restaurant
Hilton London (Smeeta),Smeeta,-,18/12/2024,07/03/2025,07/03/2025,Export,16320,4305,0,2252.5,380,United Kingdom,,Hotel
Heritage Resorts and Spas,Buahan a Banyan Tree Escape,,05/08/2024,,,,1,60359580,0,30177290,0,,,Hotel
Heritage Resorts and Spas,Buahan a Banyan Tree Escape,BTE2501006,05/02/2025,30/04/2025,21/04/2025,Local,1,13852800,0,6923900,120,Bali,,Hotel
Heritage Resorts and Spas,Buahan a Banyan Tree Escape,-,28/02/2025,30/04/2025,30/04/2025,Local,1,10866900,0,5430950,51,,,Hotel
Heritage Hospitality Pte Ltd,Kee's 21 Carpenter,,11/01/2024,,,,,5940,,,0,,,Hotel
Harmoni Cakrawala Bali,Mandarin Oriental Bali,SAMPLE,20/02/2025,17/03/2025,17/03/2025,Local,1,3441000,1720500,0,22,,,Hotel
Harmoni Cakrawala Bali,Mandarin Oriental Bali,-,07/02/2025,10/02/2025,10/02/2025,Local,1,1098900,0,0,6,Bali,Done,Hotel
Harmoni Cakrawala Bali,Mandarin Oriental Bali,095/HCB/I/2025,21/01/2025,10/02/2025,10/02/2025,Local,1,26356950,0,0,159,Bali,Done,Hotel
Harmoni Cakrawala Bali,Mandarin Oriental Bali,,21/01/2025,,,,1,1154400,0,0,0,,,Hotel
Handara Golf & Resort Bali,Sarana Buana Handara,-,10/12/2024,28/02/2025,28/02/2025,Local,1,248684400,0,124342200,888,Bali,,Hotel
Hamish & Raisa,Hamish & Raisa,,27/03/2024,,,,1,11194350,0,11194350,0,,,Personal
"Hai Ha Handicraft Co., Ltd",Hai Ha,,22/01/2024,,,,15480,1050,0,0,0,,,Hotel
"Hai Ha Handicraft Co., Ltd",Hai Ha,,19/09/2024,,,,16320,6684,0,6684,0,,,Hotel
"Hai Ha Handicraft Co., Ltd",Hai Ha,,01/10/2024,,,,16320,6700,0,6700,0,,,Hotel
"Hai Ha Handicraft Co., Ltd",Hai Ha,2410-658/HH-KEV,31/10/2024,01/02/2025,,Export,16320,8584,0,4292,461,Vietnam,Done,Hotel
Guum Pte. Ltd.,Guum,,19/12/2023,,,,15500,6650,0,0,0,,,Restaurant
Groupx Kolektif Indonesia,Marea,,10/09/2024,,,,1,10789200,0,5394600,0,,,Restaurant
Griya Pancaloka,Sofitel Bali Nusa Dua Beach Resort,,26/01/2024,,,,,8680000,,,0,,,Hotel
Griya Pancaloka,Sofitel Bali Nusa Dua Beach Resort,,21/12/2023,,,,1,42912600,0,0,0,,,Hotel
Griya Pancaloka,Sofitel Bali Nusa Dua Beach Resort,,21/12/2023,,,,1,5427900,0,0,0,,,Hotel
Griya Pancaloka,Sofitel Bali Nusa Dua Beach Resort,,28/06/2024,,,,1,11072250,0,5536125,0,,,Hotel
Griya Pancaloka,Sofitel Bali Nusa Dua Beach Resort,,02/07/2024,,,,1,4745250,0,0,0,,,Hotel
Griya Bali Dwipa,The Legian,,12/12/2023,,,,1,49922250,0,24961125,0,,,Hotel
Greenland Rajawali Utama,Four Seasons Hotel Jakarta,,21/03/2024,,,,1,1531800,0,0,0,,,Hotel
Greenland Rajawali Utama,Four Seasons Hotel Jakarta,,17/02/2024,,,,1,91668500,0,47347050,0,,,Hotel
Greenland Rajawali Utama,Four Seasons Hotel Jakarta,JKR0192923,21/03/2025,30/05/2025,15/05/2025,Local,1,17127300,0,8563650,61,,,Hotel
Greek Restaurant in Uluwatu,Greek Restaurant,-,21/01/2025,21/04/2025,30/04/2025,Local,1,362210205,0,181674532,1755,Bali,,Restaurant
Grand Hyatt Jakarta,Plaza Indonesia Realty,,10/01/2024,,,,1,44955000,0,0,0,,,Hotel
Grand Hyatt Jakarta,Plaza Indonesia Realty,,16/07/2024,,,,1,932400,932400,0,0,,,Hotel
Grand Hyatt Jakarta,Plaza Indonesia Realty,,10/01/2024,,,,1,26640000,0,0,0,,,Hotel
Graha Alam Lestari,The Apurva Kempinski Bali,,25/04/2024,,,,1,28729852,0,14364926,0,,,Hotel
