invoice_number,Date,Company_Name,Brand_Name,Total,Customer_Category,Trade_Type,Total_Quantity,Full_Address,Country,Total_Invoice_USD
643126#08010000025220241030008482,2024-10-31,beyond bamboo (six senses london),Six Senses London,124.5,Hotel,Export,12.0,"Beyond Bamboo Global LTD
82 St John Street, London, 
United Kingdom, 
EC1M 4JN",United Kingdom,124.5
645773#00003001310720241115001520,2024-11-16,furnish hospitality,Furnish Hospitality,83.28,Hotel,Export,68.0,,United Arab Emirates,83.28
646223#00003001813220241119201865,2024-11-19,leisure oceans private limited (six sense kanuhura),Six Sense Kanuhura,1500.0,Hotel,Export,500.0,"Kanuhura, Maldives
Lhaviyani Atoll, Maldives
Lh. Kanuhuraa",Maldives,1500.0
648906#00003002914220241204100076,2024-12-04,"hai ha handicraft co., ltd",Hai Ha,750.0,Hotel,Export,30.0,"151 Hoa Lan., Ward 2, Phu Nhuan Dist, HCM City, Vietnam",Vietnam,750.0
650960#00003002386620241216800233,2024-12-16,rosewood hotel doha,Royal Hospitality Co W.L.L,9425.0,Hotel,Export,545.0,,Qatar,9425.0
651667#00003071543520241219000637,2024-12-20,jwo holdings pte ltd,Janice Wong / W Sydney,1225.0,Hotel,Export,49.0,21a lorong liput Singapore 277733,Australia,1225.0
651821#00003031712320241219000195,2024-12-21,reef hospitality solutions and trading company,Sindalah,126012.2,Hotel,Export,7695.0,"Postal Code 13515, Riyadh, KSA",Saudi Arabia,126012.2
652747#00003002217320241227000975,2024-12-30,"hai ha handicraft co., ltd",Hai Ha,12634.0,Hotel,Export,920.0,"151 Hoa Lan., Ward 2, Phu Nhuan Dist, HCM City, Vietnam",Vietnam,12634.0
706457#00003002454520240626001065,2024-06-28,mactan seascapes service inc (crimson),Crimson / Boracay,780.0,Hotel,Export,60.0,"Seascapes Resort Town, Mactan Island, Lapu-lapu City Cebu",Philippines,780.0
715137#00003002417020240711000662,2024-07-12,fieldcrest enterprise,Raffless Singapore (USD),21481.5,Agent,Export,1513.0,,Singapore,21481.5
721330#00003083446020240719202139,2024-07-23,"mimosa cityscapes, inc.","Mimosa Cityscapes, INC.",4652.5,Restaurant,Export,195.0,,Philippines,4652.5
729751#00003092346520240802001883,2024-08-05,capella sydney,Brasserie 1938 Capella Sydney (HPG International H,10065.0,Hotel,Export,760.0,,Australia,10065.0
741139#00003002417020240821000780,2024-08-21,fieldcrest enterprise,Raffless Singapore (USD),3855.0,Agent,Export,265.0,,Singapore,3855.0
755890#07010000120720240911000025,2024-09-12,radhat al jabal llc (hotel indigo jabal akhdar resort & spa),Indigo Oman,43370.5,Hotel,Export,1905.0,"PO Box: 3519     Postal Code: 111
CR Number: 1231172
VATIN OM1100035976
Jabal Akhdar, Nizwa, Sultanate of Oman",Oman,43370.5
767908#00003002454520240930001562,2024-09-30,the ritz carlton bahrain,The Ritz Carlton Bahrain,13950.0,Hotel,Export,765.0,,Bahrain,13950.0
778369#00003002845820241015001069,2024-10-16,"cprc (maldives) pvt, ltd (ritz carlton maldives)",Ritz Carlton Maldives,5075.0,Hotel,Export,620.0,"Fari Islands, North Male Atoll, Male 20013, Maldives",Maldives,5075.0
779654#00003031712320241015000163,2024-10-17,reef hospitality solutions and trading company,Sindalah,195880.81,Hotel,Export,12000.0,"Postal Code 13515, Riyadh, KSA",Saudi Arabia,195880.81
790212#00003002454520241030001718,2024-11-01,mactan seascapes service inc (crimson),Crimson / Boracay,9325.0,Hotel,Export,300.0,"Seascapes Resort Town, Mactan Island, Lapu-lapu City Cebu",Philippines,9325.0
810300#00003083446020241116203301,2024-12-02,leisure ventures langkawi sdn bhd,Four Seasons Resort Langkawi,10098.0,Hotel,Export,720.0,"Four Seasons Resort Langkawi

Jalan Tanjung Rhu
Mukim Ayer Hangat
Langkawi, kedah, 07000, MY",Malaysia,10098.0
816888#00003002845820241210001467,2024-12-11,"cprc (maldives) pvt, ltd (ritz carlton maldives)",Ritz Carlton Maldives,6796.0,Hotel,Export,445.0,"Fari Islands, North Male Atoll, Male 20013, Maldives",Maldives,6796.0
822322#00003002791820241218000081,2024-12-19,asl uk ltd,Six Senses London - Link,15015.0,Hotel,Export,1980.0,"The Coach House and Lodge, Grimsbury Green, Banbury, Oxfordshire, OX16 3JQ, UK.",United Kingdom,15015.0
922634#00003001590820231206000077,2024-01-02,leisure oceans private limited (six sense kanuhura),Six Sense Kanuhura,16800.0,Hotel,Export,934.0,"Kanuhura, Maldives
Lhaviyani Atoll, Maldives
Lh. Kanuhuraa",Maldives,16800.0
HOME-00001/KEVALA/OUT/01/2025,2025-01-31,kevala keramik bali,KKB,38235032.0,Umum,Local,227.0,,Indonesia,2358.68779216767
HOME-00001/KEVALA/OUT/02/2025,2025-02-28,kevala keramik bali,KKB,67100458.0,Umum,Local,1710.0,,Indonesia,4139.372268171751
HOME-00001/KEVALA/OUT/03/2025,2025-02-28,kevala keramik bali,KKB,74512242.0,Umum,Local,437.0,,Indonesia,4596.599149503605
HOME-00001/KEVALA/OUT/04/2025,2025-03-31,kevala keramik bali,KKB,66300237.0,Umum,Local,1543.0,,Indonesia,4090.0072904273566
HOME-00002/KEVALA/OUT/01/2025,2025-01-31,kevala keramik bali,KKB,37185800.0,Umum,Local,263.0,,Indonesia,2293.9615298867425
HOME-00002/KEVALA/OUT/02/2025,2025-02-28,kevala keramik bali,KKB,49952294.0,Umum,Local,334.0,,Indonesia,3081.516083171327
HOME-00002/KEVALA/OUT/04/2025,2025-03-31,kevala keramik bali,KKB,53941369.0,Umum,Local,284.0,,Indonesia,3327.5988510513503
HOME-00003/KEVALA/OUT/01/2025,2025-01-31,kevala keramik bali,KKB,66618933.0,Umum,Local,1769.0,,Indonesia,4109.667385510124
HOME-00003/KEVALA/OUT/02/2025,2025-02-28,kevala keramik bali,KKB,22181998.0,Umum,Local,167.0,,Indonesia,1368.3892794567996
HOME-00003/KEVALA/OUT/04/2025,2025-03-31,kevala keramik bali,KKB,33820832.0,Umum,Local,259.0,,Indonesia,2086.3794114087227
HOME-00004/KEVALA/OUT/01/2025,2025-01-31,kevala keramik bali,KKB,75967501.0,Umum,Local,453.0,,Indonesia,4686.372884693421
HOME-00004/KEVALA/OUT/02/2025,2025-02-28,kevala keramik bali,KKB,30245899.0,Umum,Local,210.0,,Indonesia,1865.8447241377055
HOME-00004/KEVALA/OUT/04/2025,2025-03-31,kevala keramik bali,KKB,87523973.0,Umum,Local,579.0,,Indonesia,5399.28217235735
HOME-00005/KEVALA/OUT/01/2025,2025-01-31,kevala keramik bali,KKB,31796949.0,Umum,Local,200.0,,Indonesia,1961.5277276210468
HOME-00005/KEVALA/OUT/04/2025,2025-03-31,kevala keramik bali,KKB,15127988.0,Umum,Local,128.0,,Indonesia,933.2331830050256
INV-00003/KEVALA/OUT/02/2025,2025-02-04,"loka neka jaya, pt",Locavore NXT,10545000.0,Restaurant,Local,50.0,"Jl. Dewi Sita No. 10B, Ubud, Kec. Ubud, Kab. Gianyar Bali 80571",Indonesia,650.5124088403556
INV-00003/KEVALA/OUT/03/2025,2025-03-05,ginger moon,Ginger Moon,4928400.0,Restaurant,Local,24.0,"Jl. Kayu Aya, Seminyak 
Kuta-Bali",Indonesia,304.028957394861
INV-00004/KEVALA/OUT/02/2025,2025-02-05,bali bounty,Kudeta,6993000.0,Restaurant,Local,30.0,,Indonesia,431.39243954676215
INV-00004/KEVALA/OUT/03/2025,2025-03-06,"pasar tani indoguna, cv",Pasar Tani Indoguna,11177700.0,Umum,Umum,20.0,"Ruko Hexa Green, Jl
Pahlawan Revolusi Blok I - 2
No.5 , RT.009 RW.00
Jakarta Timur 13430",Indonesia,689.543153370777
INV-00005/KEVALA/OUT/03/2025,2025-03-06,"pasar tani indoguna, cv",Pasar Tani Indoguna,11177700.0,Umum,Umum,20.0,"Ruko Hexa Green, Jl
Pahlawan Revolusi Blok I - 2
No.5 , RT.009 RW.00
Jakarta Timur 13430",Indonesia,689.543153370777
INV-00006/KEVALA/OUT/03/2025,2025-03-06,"bali boga utama, cv",Bali Boga Utama,11177700.0,Restaurant,Umum,20.0,Jimbaran,Indonesia,689.543153370777
INV-00007/KEVALA/OUT/03/2025,2025-03-06,"makasar boga utama, cv",Makasar Boga Utama,11177700.0,Restaurant,Umum,20.0,"Komp Akik Hijau Blok D11-
D12 A-D 12
Masale, PanaKukkang
Makasar SUL
Indonesia",Indonesia,689.543153370777
INV-00008/KEVALA/OUT/03/2025,2025-03-06,"cipaku boga utama, cv",Cipaku Boga Utama,22355400.0,Restaurant,Umum,40.0,"JL. Cipaku 1 No 13 RT 002
RW 004
Petogogan Kebayoran Baru
Jakarta Selatan
Indonesia",Indonesia,1379.086306741554
INV-00012/KEVALA/OUT/03/2025,2025-03-07,jen,Jennifer,47397000.0,Personal,Local,254.0,,Indonesia,2923.882090261388
INV-00013/KEVALA/OUT/03/2025,2025-03-07,hotel pandan arum,Maya Ubud,16924725.0,Hotel,Local,150.0,"Jalan Gunung  Sari Peliatan Ubud Gianyar
Gianyar Bali
Indonesia",Indonesia,1044.0724161887708
INV-00014/KEVALA/OUT/02/2025,2025-02-10,harmoni cakrawala bali,Mandarin Oriental Bali,26356950.0,Hotel,Local,159.0,,Indonesia,1625.9386471488679
INV-00015/KEVALA/OUT/02/2025,2025-02-10,harmoni cakrawala bali,Mandarin Oriental Bali,1098900.0,Hotel,Local,6.0,,Indonesia,67.79024050020548
INV-00015/KEVALA/OUT/03/2025,2025-03-10,paola buendia,Paola Buendia,4795200.0,Personal,Local,24.0,,Indonesia,295.8119585463512
INV-00016/KEVALA/OUT/03/2025,2025-03-10,pacific resorts buana indonesia,St Regis Bali,77700000.0,Hotel,Local,480.0,"Kawasan Pariwisata Nusa Dua S6 PO.BOX 44, Benoa, Kuta Selatan, Kab. Badung, Bali.",Indonesia,4793.249328297357
INV-00018/KEVALA/OUT/02/2025,2025-02-13,awahita indonesia putra,Capella Ubud,33744000.0,Hotel,Local,260.0,"Jl. Raya Dalem, Banjar Triwangsa, Desa Keliki, Kecamatan Tegalalang, Ubud, Gianyar
Bali 80561, INDONESIA",Indonesia,2081.639708289138
INV-00018/KEVALA/OUT/03/2025,2025-03-10,awahita indonesia putra,Capella Ubud,7592400.0,Hotel,Local,24.0,"Jl. Raya Dalem, Banjar Triwangsa, Desa Keliki, Kecamatan Tegalalang, Ubud, Gianyar
Bali 80561, INDONESIA",Indonesia,468.3689343650561
INV-00019/KEVALA/OUT/02/2025,2025-02-11,jimbaran villas,Bvlgari,5594400.0,Hotel,Local,24.0,"Jalan Goa Lempeh, Banjar Dinas Kangin, Pecatu, Uluwatu, Badung, Bali 80361
Indonesia",Indonesia,345.11395163740974
INV-00020/KEVALA/OUT/02/2025,2025-02-13,hotel permata hijau,Hotel Permata Hijau,85914000.0,Hotel,Local,360.0,,Indonesia,5299.964257288792
INV-00020/KEVALA/OUT/03/2025,2025-03-11,citra jimbaran indah hotel,Intercontinental Bali Resort,26640000.0,Hotel,Local,100.0,"Jl. Raya Uluwatu No. 45 , Jimbaran, Bali Kab. Badung Bali
Badung Bali 80361
Indonesia",Indonesia,1643.399769701951
INV-00021/KEVALA/OUT/02/2025,2025-02-13,boma beach club,Boma Beach Club,670.0,Restaurant,Local,50.0,,Indonesia,0.04133175096472625
INV-00021/KEVALA/OUT/03/2025,2025-03-11,hotel pandan arum,Maya Ubud,33966000.0,Hotel,Local,120.0,"Jalan Gunung  Sari Peliatan Ubud Gianyar
Gianyar Bali
Indonesia",Indonesia,2095.3347063699875
INV-00025/KEVALA/OUT/03/2025,2025-03-13,"palembang boga utama, cv",Palembang Boga Utama,11177700.0,Restaurant,Umum,20.0,,Indonesia,689.543153370777
INV-00026/KEVALA/OUT/03/2025,2025-03-13,"surabaya boga, cv",Surabaya Boga,11177700.0,Restaurant,Umum,20.0,"Surabaya, Indonesia",Indonesia,689.543153370777
INV-00027/KEVALA/OUT/02/2025,2025-02-17,four season resort maldives,Four Season Maldives,1290.0,Hotel,Export,100.0,"Four Seasons Resort Maldives at Landaa Giraavaru Baa Atoll, MV",Maldives,1290.0
INV-00027/KEVALA/OUT/03/2025,2025-03-13,"bandung boga utama, cv",Bandung Boga Utama,11177700.0,Restaurant,Umum,20.0,,Indonesia,689.543153370777
INV-00028/KEVALA/OUT/02/2025,2025-02-17,four season resort maldives,Four Season Maldives,1214475.0,Hotel,Export,1.0,"Four Seasons Resort Maldives at Landaa Giraavaru Baa Atoll, MV",Maldives,1214475.0
INV-00028/KEVALA/OUT/03/2025,2025-03-14,amanda arumdhani,Four Season Sayan,9501600.0,Hotel,Local,59.0,"Br. Kutuh, Desa Sayan, Ubud, Bali.",Indonesia,586.1459178603626
INV-00030/KEVALA/OUT/02/2025,2025-02-17,boa development,Nihi Rote,40537200.0,Hotel,Local,165.0,"C/O Kantor taman A9 Unit B Lt.4
Jl.Dr Ide Anak Agung Gde Agung Kawasan Mega Kuningan
Jakarta 12950
Jakarta DKI Jakarta
Indonesia",Indonesia,2500.7066495631357
INV-00030/KEVALA/OUT/03/2025,2025-03-17,nusadua graha international,The Westin Resort Nusa Dua,12565200.0,Hotel,Local,38.0,"Kawasan BTDC Nusa Dua Lot. 3. Kuta Selatan, Kabupaten Badung, Bali, Indonesia",Indonesia,775.136891376087
INV-00031/KEVALA/OUT/02/2025,2025-02-17,boa development,Nihi Rote,10656000.0,Hotel,Local,70.0,"C/O Kantor taman A9 Unit B Lt.4
Jl.Dr Ide Anak Agung Gde Agung Kawasan Mega Kuningan
Jakarta 12950
Jakarta DKI Jakarta
Indonesia",Indonesia,657.3599078807805
INV-00031/KEVALA/OUT/03/2025,2025-03-17,bali radiance,Bali Radiance,51948000.0,Hotel,Local,477.0,"Jalan Raya Semer No. 99, Kerobokan Kuta Utara, Badung, Bali",Indonesia,3204.629550918805
INV-00032/KEVALA/OUT/02/2025,2025-02-21,boa development,Nihi Rote,35898100.0,Hotel,Local,163.0,"C/O Kantor taman A9 Unit B Lt.4
Jl.Dr Ide Anak Agung Gde Agung Kawasan Mega Kuningan
Jakarta 12950
Jakarta DKI Jakarta
Indonesia",Indonesia,2214.52437209976
INV-00032/KEVALA/OUT/03/2025,2025-03-18,hotel pandan arum,Maya Ubud,10489500.0,Hotel,Local,30.0,"Jalan Gunung  Sari Peliatan Ubud Gianyar
Gianyar Bali
Indonesia",Indonesia,647.0886593201433
INV-00033/KEVALA/OUT/02/2025,2025-02-17,boa development,Nihi Rote,5328000.0,Hotel,Local,35.0,"C/O Kantor taman A9 Unit B Lt.4
Jl.Dr Ide Anak Agung Gde Agung Kawasan Mega Kuningan
Jakarta 12950
Jakarta DKI Jakarta
Indonesia",Indonesia,328.67995394039025
INV-00033/KEVALA/OUT/03/2025,2025-03-19,"indoguna utama, pt",Indoguna Utama,27944250.0,Restaurant,Umum,50.0,"JL.Taruna No.8 ,
RT.02/RW.04,
Pondok Bambu, Duren Sawit,
RT.2/RW.4,
Jakarta Timur 13430
Indonesia",Indonesia,1723.8578834269424
INV-00034/KEVALA/OUT/02/2025,2025-02-18,harmoni cakrawala bali,Mandarin Oriental Bali,1154400.0,Hotel,Local,8.0,,Indonesia,71.21399002041788
INV-00034/KEVALA/OUT/03/2025,2025-03-19,"citra kirana pantai, pt",Swissotel Jakarta PIK Avenue,15107100.0,Hotel,Umum,40.0,"SWISSOTEL JAKARTA PIK AVENUE
Jl. Pantai Indah Kapuk, RT.6/RW.2 
Kamal Muara, Kec. Penjaringan, 14470
Jakarta Utara, Indonesia.

Tel: 0361 4992523",Indonesia,931.9446194018147
INV-00035/KEVALA/OUT/02/2025,2025-02-18,bali bounty,Kudeta,4329000.0,Restaurant,Local,30.0,,Indonesia,267.05246257656705
INV-00035/KEVALA/OUT/03/2025,2025-03-19,"citra kirana pantai, pt",Swissotel Jakarta PIK Avenue,24997200.0,Hotel,Umum,200.0,"SWISSOTEL JAKARTA PIK AVENUE
Jl. Pantai Indah Kapuk, RT.6/RW.2 
Kamal Muara, Kec. Penjaringan, 14470
Jakarta Utara, Indonesia.

Tel: 0361 4992523",Indonesia,1542.0567839036642
INV-00036/KEVALA/OUT/03/2025,2025-03-19,cempaka interior,Cempaka Interior,9057600.0,Agent,Local,15.0,,Indonesia,558.7559216986634
INV-00039/KEVALA/OUT/03/2025,2025-03-20,"kopi bar sela, pt",Chella Uluwatu,1520700.0,Restaurant,Local,7.0,,Indonesia,93.8107368538197
INV-00040/KEVALA/OUT/03/2025,2025-03-20,badan canggu international,Regent Canggu,73482000.0,Hotel,Local,190.0,Jl. Manunggal Jati Krian Sidoarjo,Indonesia,4533.044364761216
INV-00041/KEVALA/OUT/03/2025,2025-03-20,riviera bistro,Riviera Pererenan / CLANDESTINO FOOD GROUP,13997100.0,Restaurant,Local,74.0,,Indonesia,863.4696289975668
INV-00044/KEVALA/OUT/02/2025,2025-02-20,beyond bamboo (six senses london),Six Senses London,4958.0,Hotel,Export,1.0,"Beyond Bamboo Global LTD
82 St John Street, London, 
United Kingdom, 
EC1M 4JN",United Kingdom,4958.0
INV-00049/KEVALA/OUT/02/2025,2025-02-21,intercontinental bandung dago,Hotel Dago Pakar,6449100.0,Hotel,Local,25.0,,Indonesia,397.83969424868064
INV-00051/KEVALA/OUT/01/2025,2025-01-30,wpc logistics - bali branch,WPC Logistics,954.0,Agent,Umum,100.0,"Jl. Mertasari 125X, Sidakarya, Denpasar 80224, Bali - Indonesia.",Indonesia,0.05885147823932663
INV-00051/KEVALA/OUT/03/2025,2025-03-24,samanvaya,Zen Happy,24647550.0,Hotel,Local,191.0,"Banjar Dinas Tebola, Telaga Tawang, Kec. Sidemen, Karangasem, Bali.",Indonesia,1520.487161926326
INV-00052/KEVALA/OUT/03/2025,2025-03-25,bali perkasa sukses,Indigo Bali,8325000.0,Hotel,Local,100.0,"Jl. Camplung Tanduk No.10, Seminyak Bali 80361",Indonesia,513.5624280318598
INV-00053/KEVALA/OUT/03/2025,2025-03-25,indonesia adventure sport,Nihi Sumba,7770000.0,Hotel,Local,25.0,"Jl. Setia Budi Kuta, Pertokoan Kuta Poleng Blok C2 Kuta Badung Bali 80361",Indonesia,479.32493282973576
INV-00054/KEVALA/OUT/03/2025,2025-03-25,indonesia adventure sport,Nihi Sumba,19425000.0,Hotel,Local,5.0,"Jl. Setia Budi Kuta, Pertokoan Kuta Poleng Blok C2 Kuta Badung Bali 80361",Indonesia,1198.3123320743393
INV-00055/KEVALA/OUT/03/2025,2025-03-25,indonesia adventure sport,Nihi Sumba,5061600.0,Hotel,Local,24.0,"Jl. Setia Budi Kuta, Pertokoan Kuta Poleng Blok C2 Kuta Badung Bali 80361",Indonesia,312.2459562433707
INV-00056/KEVALA/OUT/03/2025,2025-03-26,indonesia adventure sport,Nihi Sumba,27972000.0,Hotel,Local,120.0,"Jl. Setia Budi Kuta, Pertokoan Kuta Poleng Blok C2 Kuta Badung Bali 80361",Indonesia,1725.5697581870486
INV-00057/KEVALA/OUT/01/2025,2025-01-01,bukit uluwatu villa,Alila Uluwatu,268898.0,Hotel,Local,2.0,"Jl. Belimbing Sari, Banjar Tambiyak, Desa Pecatu, Bali, Indonesia.",Indonesia,16.58809727001934
INV-00057/KEVALA/OUT/03/2025,2025-03-26,vista padang asri,Suarga Resort,4662000.0,Hotel,Local,5.0,,Indonesia,287.59495969784143
INV-00058/KEVALA/OUT/02/2025,2025-02-25,badan canggu international,Regent Canggu,132328650.0,Hotel,Local,540.0,Jl. Manunggal Jati Krian Sidoarjo,Indonesia,8163.245981042421
INV-00058/KEVALA/OUT/03/2025,2025-03-26,ungasan semesta resort,QQ Siti Agung Makmur (LXR),16158270.0,Hotel,Local,80.0,,Indonesia,996.7904353146376
INV-00059/KEVALA/OUT/02/2025,2025-02-25,intercontinental bandung dago,Hotel Dago Pakar,6737700.0,Hotel,Local,71.0,,Indonesia,415.6431917537851
INV-00059/KEVALA/OUT/03/2025,2025-03-27,riviera bistro,Riviera Pererenan / CLANDESTINO FOOD GROUP,6726600.0,Restaurant,Local,60.0,,Indonesia,414.95844184974266
INV-00060/KEVALA/OUT/03/2025,2025-03-27,amanda arumdhani,Four Season Sayan,17970900.0,Hotel,Local,91.0,"Br. Kutuh, Desa Sayan, Ubud, Bali.",Indonesia,1108.6100946447746
